clean_name,last_win_rating,ST_win_rate,HV_win_rate,ST_vs_HV_pref,AWT_win_rate,Turf_win_rate,AWT_vs_Turf_pref,last_form_going,recent_avg_pos,recent_win_rate,last_run_date,last_race_class_int,last_horse_rating,last_gear,distance_win_rate,prev_run_vet_finding,horse_code,avg_first_pos,gear_win_rate,has_overseas_form,winning_gears,gallops_30d,trots_30d,swims_30d,last_workout_date,last_workout_type,last_workout_detail,is_in_conghua,latest_body_weight
CASA ROCHESTER,57.0,0.0,0.0833333333333333,Happy Valley,0.0,0.0833333333333333,TURF,GOOD TO FIRM,5.0,0.0,2026-09-09,4.0,54.0,,0.1,1.0,J494,8.583333333333334,0.0,1.0,[],,,,,,,,
CAUSEWAY KING,,,,,,,,,,,,,,,,0.0,L196,,,1.0,,7.0,28.0,28.0,25/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CELESTIAL HERO,72.0,0.1,0.0,Sha Tin,0.0,0.0833333333333333,TURF,YIELDING,7.25,0.0,2026-06-07,4.0,73.0,CP,0.1,1.0,K363,8.25,0.125,1.0,['CP'],5.0,19.0,30.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CENTRAL BANK,,,,,,,,,,,,,,,,0.0,L222,,,1.0,,5.0,24.0,30.0,25/09/2026,Gallop,31.2 28.7 (59.9) (R.B.),0.0,
CHARMING BABE,60.0,0.0,0.1,Happy Valley,0.0,0.0909090909090909,TURF,GOOD TO FIRM,8.75,0.0,2026-05-13,4.0,58.0,B/BR,0.0909090909090909,0.0,J513,6.636363636363637,0.0,1.0,['BR'],6.0,31.0,28.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CHARMING LEGEND,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,8.5,0.0,2026-07-08,4.0,60.0,,0.0,1.0,K127,6.583333333333333,0.0,1.0,[],5.0,28.0,23.0,12/09/2026,Trotting,AWT 1 Round - Fast (R.B.),0.0,
CHEERFUL WONGCHOY,,0.0,0.0,Neutral,0.0,0.0,Neutral,Unknown,7.0,0.0,2026-07-01,4.0,44.0,H/PC,0.0,0.0,L045,8.333333333333334,0.0,1.0,[],5.0,17.0,26.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CHILL BUDDY,72.0,0.2,0.0,Sha Tin,0.0,0.1818181818181818,TURF,GOOD,3.75,0.5,2026-06-07,4.0,72.0,TT,0.2857142857142857,0.0,K469,4.9,0.3333333333333333,1.0,['TT'],6.0,28.0,29.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CHILL MASTER,,0.0,0.0,Neutral,0.0,0.0,Neutral,GOOD,5.25,0.0,2026-06-21,4.0,31.0,B/TT,0.0,1.0,J319,9.0,0.0,1.0,[],5.0,30.0,15.0,12/09/2026,Trotting,SmT 1 Round - Fast (R.B.),0.0,
CHINA WIN,60.0,0.1666666666666666,0.1666666666666666,Neutral,0.0,0.1666666666666666,TURF,GOOD TO FIRM,4.25,0.0,2026-05-13,4.0,70.0,,0.2857142857142857,1.0,K395,7.3,0.0,1.0,['B-'],,,,,,,,
